symbol,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,volume,no_of_trades
WIPRO,2025-10-21,241.24,241,242.16,240.36,241.19,241.36,241.57,2082336,27617
WIPRO,2025-10-20,240.9,240.9,241.94,239.27,241.43,241.24,240.96,9871824,98492
WIPRO,2025-10-17,253.81,250,250,239.11,240.68,240.9,241.63,43802251,285578
WIPRO,2025-10-16,250.21,250.4,254.07,248.8,253.7,253.81,252.33,10661302,96120
WIPRO,2025-10-15,248.42,250,252.13,248.54,250.4,250.21,250.19,13278925,75741
WIPRO,2025-10-14,245.13,245.8,250.15,245.11,247.8,248.42,248.16,7888607,75705
WIPRO,2025-10-13,248.7,246.06,247.7,244.51,245.15,245.13,245.49,6717589,72184
WIPRO,2025-10-10,246.4,248,251.25,246.25,248.98,248.7,249.13,7070200,83077
WIPRO,2025-10-09,244.27,243.99,246.8,243.16,246.4,246.4,245.76,4629760,58945
WIPRO,2025-10-08,243.53,243.25,246.35,242.57,244,244.27,244.6,7360563,81653
WIPRO,2025-10-07,242.13,242.9,245,242.14,243.75,243.53,243.37,6587728,66541
WIPRO,2025-10-06,240.98,240,242.96,239.32,242.13,242.13,241.51,6064946,95492
WIPRO,2025-10-03,241.07,240.98,241.4,238.06,241.2,240.98,239.97,10968346,91040
WIPRO,2025-10-01,239.37,240,243.57,237.84,241.8,241.07,240.59,9479378,103764
WIPRO,2025-09-30,239.64,239.93,241.5,239,239.04,239.37,239.99,5590909,76129
WIPRO,2025-09-29,235.75,236.88,240.79,236.29,239.4,239.64,239.24,8894412,113119
WIPRO,2025-09-26,242,241.45,241.55,235.01,236.5,235.75,236.91,16999628,186077
WIPRO,2025-09-25,244.59,245.45,245.64,241.28,242.25,242,242.95,7957740,114006
WIPRO,2025-09-24,249.63,248.33,249.12,244.25,244.88,244.59,245.55,7888797,119211
WIPRO,2025-09-23,250.33,250.22,252,248.75,249.4,249.63,250.18,8674114,78897
WIPRO,2025-09-22,255.88,248.55,251.78,247.21,250.49,250.33,250.17,15784007,183999
WIPRO,2025-09-19,256.93,257,257.66,254.7,256.29,255.88,255.83,10741757,70932
WIPRO,2025-09-18,254.15,257,259.8,256,257.1,256.93,257.69,10498239,91505
WIPRO,2025-09-17,254.01,253.3,255.5,252.85,254.17,254.15,254.46,7339871,106539
WIPRO,2025-09-16,251.28,252,254.5,250.2,254.5,254.01,252.49,7316998,78519
WIPRO,2025-09-15,251.94,251.5,251.79,249.6,251.34,251.28,250.85,3700703,54844
WIPRO,2025-09-12,253.91,254.88,255.9,250.82,252,251.94,252.2,5345794,57268
WIPRO,2025-09-11,255.75,255.7,255.7,252.17,254.06,253.91,253.47,5865301,62615
WIPRO,2025-09-10,249.15,249.3,257.17,249.25,255.71,255.75,255.41,15261331,123766
WIPRO,2025-09-09,242.52,245,249.85,245,249.34,249.15,248.71,12836972,106736
WIPRO,2025-09-08,243.67,244.36,246.99,242.2,242.88,242.52,243.72,6596932,86320
WIPRO,2025-09-05,244.97,246.1,247.32,241.27,244.36,243.67,244.12,6233782,107082
WIPRO,2025-09-04,249.56,249.5,250.34,244.44,245.45,244.97,246.75,5021036,77917
WIPRO,2025-09-03,250.93,251.9,252.4,249.12,249.54,249.56,250.06,3862765,49289
WIPRO,2025-09-02,250.36,250.36,253.15,249.6,250.85,250.93,251.41,5046939,64292
WIPRO,2025-09-01,249.41,249.42,252.99,249.4,250.5,250.36,251.05,3198345,54664
WIPRO,2025-08-29,250.65,250.5,253.1,248.66,249.3,249.41,250.62,10117017,77009
WIPRO,2025-08-28,252.03,252.02,252.35,249.08,249.98,250.65,250.77,5851451,68338
WIPRO,2025-08-26,253.84,253,254.82,251.31,251.75,252.03,252.45,15797327,70418
WIPRO,2025-08-25,248.64,250.6,257.29,250.6,254.4,253.84,255.04,16391069,126819
WIPRO,2025-08-22,249.91,252,253,247.61,248.74,248.64,249.26,13572686,77178
WIPRO,2025-08-21,250.84,252.74,252.74,249.61,250.4,249.91,250.5,7607486,63179
WIPRO,2025-08-20,246.96,245.3,252.89,245.3,251,250.84,250.24,10099384,111418
