symbol,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,volume,no_of_trades
M&M,2025-09-15,3589.90,3590.00,3603.40,3526.60,3530.30,3530.30,3544.99,2550444,140495
M&M,2025-09-12,3595.70,3594.90,3641.00,3582.00,3591.00,3589.90,3599.07,2839264,129437
M&M,2025-09-11,3604.40,3620.00,3647.90,3580.00,3597.00,3595.70,3597.27,1949934,128933
M&M,2025-09-10,3696.30,3702.00,3708.90,3591.40,3609.00,3604.40,3624.04,2298202,149195
M&M,2025-09-09,3701.40,3702.20,3723.80,3673.10,3702.00,3696.30,3696.11,2879258,194157
M&M,2025-09-08,3561.30,3585.00,3715.20,3579.10,3704.20,3701.40,3673.43,4623789,220538
M&M,2025-09-05,3481.50,3511.00,3577.80,3481.50,3562.90,3561.30,3554.30,3700943,190252
M&M,2025-09-04,3286.00,3527.00,3550.00,3463.40,3480.00,3481.50,3494.72,7600320,353688
M&M,2025-09-03,3234.50,3269.00,3293.70,3232.80,3288.00,3286.00,3266.31,2672659,121638
M&M,2025-09-02,3315.40,3325.00,3330.00,3223.00,3238.00,3234.50,3270.24,3073407,181109
M&M,2025-09-01,3199.50,3191.10,3324.90,3191.10,3312.00,3315.40,3278.35,3525726,174792
M&M,2025-08-29,3295.30,3271.00,3280.00,3187.00,3200.00,3199.50,3213.52,3017625,207686
M&M,2025-08-28,3330.80,3375.00,3375.00,3287.30,3301.00,3295.30,3308.84,2936428,180770
M&M,2025-08-26,3398.90,3395.00,3414.00,3318.10,3340.00,3330.80,3354.33,3122442,145646
M&M,2025-08-25,3403.00,3428.00,3429.00,3381.80,3400.00,3398.90,3396.86,1859862,132740
M&M,2025-08-22,3375.10,3380.00,3420.00,3375.40,3400.10,3403.00,3399.83,2509867,129261
M&M,2025-08-21,3395.60,3410.00,3410.00,3370.00,3377.50,3375.10,3387.18,1964795,112757
M&M,2025-08-20,3354.00,3354.10,3404.20,3335.00,3392.00,3395.60,3374.40,2957816,176971
M&M,2025-08-19,3383.10,3400.00,3403.90,3338.10,3357.00,3354.00,3367.12,2596242,214611
M&M,2025-08-18,3265.40,3350.00,3432.00,3335.30,3379.00,3383.10,3401.48,5787481,329583
M&M,2025-08-14,3282.20,3273.20,3313.50,3262.00,3265.00,3265.40,3276.60,1508721,104267
M&M,2025-08-13,3236.50,3255.00,3300.00,3238.70,3294.00,3282.20,3273.00,2436029,114569
M&M,2025-08-12,3186.20,3186.10,3253.00,3185.10,3236.00,3236.50,3235.18,3315978,152785
M&M,2025-08-11,3144.20,3150.90,3230.00,3130.30,3184.10,3186.20,3169.91,2046761,132454
M&M,2025-08-08,3211.10,3207.00,3214.90,3135.60,3141.80,3144.20,3169.17,1721037,135295
M&M,2025-08-07,3227.50,3198.00,3229.60,3161.10,3206.00,3211.10,3203.57,2374621,96751
M&M,2025-08-06,3212.20,3212.20,3240.10,3178.60,3240.10,3227.50,3212.42,1866321,101809
M&M,2025-08-05,3200.20,3195.00,3222.00,3170.10,3213.00,3212.20,3198.75,1805644,94042
M&M,2025-08-04,3159.30,3170.00,3223.00,3160.00,3197.60,3200.20,3200.23,2684012,101458
M&M,2025-08-01,3203.10,3205.00,3205.00,3116.70,3165.00,3159.30,3160.76,3781457,183054
M&M,2025-07-31,3208.90,3225.00,3238.20,3135.60,3197.50,3203.10,3199.17,4465859,242288
M&M,2025-07-30,3199.40,3195.00,3241.60,3151.90,3225.00,3208.90,3191.71,2199654,155483
M&M,2025-07-29,3209.80,3203.00,3225.90,3186.60,3207.00,3199.40,3203.08,1824673,132200
M&M,2025-07-28,3246.40,3246.40,3256.90,3199.20,3210.00,3209.80,3219.27,1939520,111553
M&M,2025-07-25,3260.90,3256.00,3259.00,3214.00,3245.00,3246.40,3237.82,1475856,74302
M&M,2025-07-24,3268.80,3255.00,3286.50,3243.70,3245.00,3260.90,3264.66,1469406,108929
M&M,2025-07-23,3257.20,3260.00,3303.00,3248.00,3265.00,3268.80,3274.46,2159800,120588
M&M,2025-07-22,3246.70,3246.70,3271.90,3210.50,3260.00,3257.20,3242.64,1854072,131531
M&M,2025-07-21,3192.40,3177.00,3253.60,3152.80,3246.30,3246.70,3223.16,2436535,129022
M&M,2025-07-18,3195.00,3208.00,3252.00,3176.70,3199.00,3192.40,3202.66,2040381,126629
M&M,2025-07-17,3196.50,3186.30,3238.00,3171.00,3216.00,3195.00,3192.87,3267180,125112
M&M,2025-07-16,3128.60,3128.60,3210.00,3082.40,3203.00,3196.50,3154.19,2892812,140712
M&M,2025-07-15,3092.10,3086.10,3148.30,3082.90,3135.00,3128.60,3123.96,2826720,123399
M&M,2025-07-14,3073.20,3072.80,3104.80,3053.60,3093.20,3092.10,3089.15,2958843,93030
M&M,2025-07-11,3162.40,3158.00,3162.40,3062.40,3069.90,3073.20,3091.91,3041614,150131
M&M,2025-07-10,3176.30,3172.10,3192.60,3137.60,3160.00,3162.40,3161.04,1701384,84149
M&M,2025-07-09,3157.90,3145.00,3189.00,3141.00,3175.00,3176.30,3174.88,1245661,69074
M&M,2025-07-08,3160.20,3150.00,3168.00,3123.00,3163.00,3157.90,3145.25,1513129,120541
M&M,2025-07-07,3162.50,3162.50,3173.00,3152.10,3158.00,3160.20,3163.69,853459,68501
M&M,2025-07-04,3174.40,3161.10,3177.00,3134.10,3162.00,3162.50,3155.27,968006,63482
M&M,2025-07-03,3165.20,3165.20,3221.00,3164.80,3175.60,3174.40,3196.86,2102806,98684
M&M,2025-07-02,3176.10,3168.00,3202.70,3153.70,3164.80,3165.20,3172.44,1559309,76219
M&M,2025-07-01,3183.20,3188.00,3218.00,3168.20,3176.00,3176.10,3188.97,1407074,90034
M&M,2025-06-30,3203.30,3205.40,3219.80,3161.00,3178.80,3183.20,3184.38,2083572,111475
M&M,2025-06-27,3215.80,3205.00,3241.50,3187.10,3220.00,3203.30,3206.86,5098406,176163
M&M,2025-06-26,3215.50,3225.90,3238.00,3183.50,3203.20,3215.80,3208.13,2907261,161956
M&M,2025-06-25,3150.10,3180.00,3225.50,3160.50,3218.00,3215.50,3195.35,2078771,101906
M&M,2025-06-24,3135.00,3155.10,3216.60,3136.80,3156.20,3150.10,3177.77,2834887,151693
M&M,2025-06-23,3184.40,3163.60,3184.40,3122.70,3136.00,3135.00,3141.92,1731432,96994
